Time,Ticker,latestPrice,latestVolume,Close,Open,low,high
10:10,YI,6.46,105,6.41,6.46,6.46,6.46
10:10,PIH,5.287,400,5.37,5.26,5.287,5.287
10:10,PIHPP,23.25,18,23.26,23.11,,
10:10,TURN,1.87,1064,1.86,1.87,1.87,1.87
10:10,FLWS,18.265,17813,18.21,18.29,18.1,18.38
10:10,BCOW,9.73,1151,9.73,9.74,9.7,9.73
10:10,FCCY,17.6,4,17.6,17.75,17.34,17.63
10:10,SRCE,44.95,2794,44.58,44.5,44.5,44.92
10:10,VNET,7.9,9191,7.91,7.93,7.81,8.01
10:10,TWOU,69.59,54225,68.13,68.23,68.05,69.63
10:10,QFIN,15.032,4991,15.565,15.04,14.99,15.04
10:10,TPNL,7.83,28022,7.93,7.94,7.9,7.965
10:10,JOBS,74.71,76531,73.68,73.58,73.33,74.9
10:10,EGHT,20.375,81171,20.14,20.17,20.16,20.37
10:10,AAON,45.19,28293,44.93,45,44.67,45.31
10:10,ABEO,7.21,31215,7.17,7.18,7.01,7.214
10:10,ABEOW,3.07,1700,3.07,2.84,2.653,3.07
10:10,ABIL,1.671,8696,1.68,1.68,1.665,1.68
10:10,ABMD,285.745,189380,276.39,277.75,275,282.07
10:10,AXAS,1.325,28571,1.33,1.31,1.31,1.34
10:10,ACIU,5.09,36680,5.02,5.02,5.01,5.09
10:10,ACIA,59.23,387769,55.35,56.59,56.03,58.79
10:10,ACTG,3.24,3288,3.2,3.2,3.24,3.25
10:10,ACHC,29.13,37879,29.2,29.16,29.03,29.42
10:10,ACAD,26.735,77075,26.24,26.27,26.27,26.8
10:10,ACAMU,10,200,10,10,10,10
10:10,ACST,1.03,74027,1.02,1.01,1.01,1.05
10:10,AXDX,20.705,7087,20.69,20.75,20.566,20.864
10:10,XLRN,44.58,26661,44.02,44.11,43.95,44.49
10:10,ARAY,4.675,38763,4.67,4.69,4.62,4.76
10:10,ACRX,3.295,265957,3.24,3.25,3.2,3.33
10:10,ACER,23.89,333,23.89,23.89,23.89,23.89
10:10,ACET,0.1617,213966,0.1629,0.1557,0.155,0.1648
10:10,AKAO,0.4615,312500,0.4713,0.48,0.4518,0.488
10:10,ACHV,3.1,10853,3.15,3.14,3.09,3.145
10:10,ACHN,2.955,86414,2.91,2.91,2.9,2.99
10:10,ACIW,32.94,23139,32.76,32.91,32.9,33.74
10:10,ACRS,6.13,19023,5.98,5.98,5.98,6.05
10:10,ACMR,15.08,5741,15.08,15.08,15.05,15.187
10:10,ACNB,36.12,501,35.8,36.12,36.12,36.12
10:10,ACOR,13.05,35109,13.04,13.07,12.89,13.14
10:10,ATVI,45.48,1193747,45.52,45.34,45.01,45.705
10:10,ADMS,7.3,42373,7.2,7.21,7.17,7.236
