Time,Ticker,latestPrice,latestVolume,Close,Open,low,high
14:04,YI,6.3,22003,6.41,6.46,6.3,6.667
14:04,PIH,5.46,1006,5.37,5.27,5.27,5.46
14:04,PIHPP,23.254,500,23.26,23.11,23.25,23.361
14:04,TURN,1.87,14560,1.86,1.87,1.87,1.879
14:04,FLWS,18.14,149932,18.21,18.29,18.06,18.38
14:04,BCOW,9.73,1151,9.73,9.74,9.7,9.73
14:04,FCCY,18.04,3035,17.6,17.75,17.702,18.2
14:04,SRCE,44.96,14821,44.58,44.5,44.35,45.29
14:04,VNET,7.76,119340,7.91,7.93,7.68,8.01
14:04,TWOU,71.43,397337,68.13,68.23,68.05,72.06
14:04,QFIN,15.1,11116,15.565,15.04,14.99,15.432
14:04,TPNL,7.8,167350,7.93,7.94,7.63,7.965
14:04,JOBS,74.325,174239,73.68,73.58,73.33,74.9
14:04,EGHT,20.17,288612,20.14,20.17,19.95,20.42
14:04,AAON,45.29,76134,44.93,45,44.46,45.32
14:04,ABEO,7.34,121278,7.17,7.18,7.01,7.34
14:04,ABEOW,3.07,1700,3.07,2.84,2.653,3.07
14:04,ABIL,1.865,148855,1.68,1.68,1.665,1.75
14:04,ABMD,284.535,571713,276.39,277.75,275,286.9
14:04,AXAS,1.24,798980,1.33,1.31,1.25,1.34
14:04,ACIU,5,93985,5.02,5.02,4.97,5.09
14:04,ACIA,57.965,1398355,55.35,56.59,56.03,59.55
14:04,ACTG,3.25,40470,3.2,3.2,3.21,3.26
14:04,ACHC,29.5,325615,29.2,29.16,28.95,29.42
14:04,ACAD,26.87,326890,26.24,26.27,26.27,26.84
14:04,ACAMU,10,3500,10,10,10,10
14:04,ACST,1.015,228354,1.02,1.01,1,1.05
14:04,AXDX,21.158,100735,20.69,20.75,20.566,21.615
14:04,XLRN,44.745,89213,44.02,44.11,43.95,45.179
14:04,ARAY,4.62,294488,4.67,4.69,4.57,4.76
14:04,ACRX,3.305,877679,3.24,3.25,3.2,3.35
14:04,ACER,23.69,13505,23.89,23.89,23.54,23.97
14:04,ACET,0.1837,2430303,0.1629,0.1557,0.15,0.195
14:04,AKAO,0.4701,1138614,0.4713,0.48,0.4518,0.488
14:04,ACHV,3.288,246457,3.15,3.14,3.09,3.43
14:04,ACHN,2.95,333679,2.91,2.91,2.9,2.99
14:04,ACIW,32.445,313438,32.76,32.91,32.18,33.74
14:04,ACRS,6.2,201767,5.98,5.98,5.98,6.3
14:04,ACMR,15.075,29791,15.08,15.08,14.6,15.23
14:04,ACNB,35.975,9099,35.8,36.12,35.705,36.194
14:04,ACOR,13.12,235523,13.04,13.07,12.87,13.16
14:04,ATVI,45.08,5242326,45.52,45.34,44.87,45.71
14:04,ADMS,7.31,196032,7.2,7.21,7.17,7.34
14:04,ADMP,2.1,415534,2.02,2.04,2.04,2.24
14:04,ADAP,4.09,140601,3.98,3.92,3.87,4.15
14:04,ADUS,62.7,85544,62.04,62.33,61.35,62.73
14:04,AEY,1.365,12504,1.37,1.36,1.34,1.38
14:04,IOTS,5.9,37586,6.04,6.02,5.81,6.1
14:04,ADIL,3.17,122465,2.94,2.93,2.894,3.24
14:04,ADILW,0.36,2200,0.36,0.3501,0.3501,0.36
14:05,YI,6.3,22003,6.41,6.46,6.3,6.667
14:05,PIH,5.46,1006,5.37,5.27,5.27,5.46
14:05,PIHPP,23.254,500,23.26,23.11,23.25,23.361
14:05,TURN,1.87,14560,1.86,1.87,1.87,1.879
14:05,FLWS,18.14,149932,18.21,18.29,18.06,18.38
14:05,BCOW,9.73,1151,9.73,9.74,9.7,9.73
14:05,FCCY,18.04,3035,17.6,17.75,17.702,18.2
